package,source,version,r_version,assessment_date,rating
rootSolve,CRAN,1.8.2.4,4.3.1,2023-11-27,low
roxygen2,CRAN,7.3.1,4.3.1,2023-11-27,low
rpact,CRAN,4.0.0,4.3.1,2023-11-27,medium
rpart,CRAN,4.1.23,4.3.1,2023-11-27,low
rpart,CRAN,4.1.23,4.3.1,2023-11-27,low
rpart.plot,CRAN,3.1.2,4.3.1,2023-11-27,low
rprojroot,CRAN,2.0.4,4.3.1,2023-11-27,low
rpsftm,CRAN,1.2.9,4.3.1,2023-11-27,medium
rrcov,CRAN,1.7-5,4.3.1,2023-11-27,low
rsample,CRAN,1.2.1,4.3.1,2023-11-27,low
rsconnect,CRAN,1.3.1,4.3.1,2023-11-27,low
rstan,CRAN,2.32.6,4.3.1,2023-11-27,low
rstanarm,CRAN,2.32.1,4.3.1,2023-11-27,low
rstantools,CRAN,2.4.0,4.3.1,2023-11-27,low
rstatix,CRAN,0.7.2,4.3.1,2023-11-27,low
rstpm2,CRAN,1.6.3,4.3.1,2023-11-27,low
rstudioapi,CRAN,0.16.0,4.3.1,2023-11-27,low
rsvg,CRAN,2.6.0,4.3.1,2023-11-27,low
rtables,CRAN,0.6.7,4.3.1,2023-11-27,low
rtf,CRAN,0.4-14.1,4.3.1,2023-11-27,medium
rules,CRAN,1.0.2,4.3.1,2024-05-31,medium
runjags,CRAN,2.2.2-4,4.3.1,2024-04-17,low
rversions,CRAN,2.1.2,4.3.1,2023-11-27,low
rvest,CRAN,1.0.4,4.3.1,2023-11-27,low
rvg,CRAN,0.3.3,4.3.1,2023-11-27,low
rxode2,CRAN,2.1.3,4.3.1,2023-11-27,low
rxode2et,CRAN,2.0.13,4.3.1,2023-11-27,low
rxode2ll,CRAN,2.0.11,4.3.1,2023-11-27,low
rxode2parse,CRAN,2.0.19,4.3.1,2023-11-27,low
rxode2random,CRAN,2.1.1,4.3.1,2023-11-27,low
s2,CRAN,1.1.6,4.3.1,2023-11-27,low
safetyData,CRAN,1.0.0,4.3.1,2023-11-27,low
sampling,CRAN,2.1,4.3.1,2024-04-17,low
sandwich,CRAN,3.1-0,4.3.1,2023-11-27,low
sass,CRAN,0.4.9,4.3.1,2023-11-27,low
scales,CRAN,1.3.0,4.3.1,2023-11-27,low
scam,CRAN,1.2-16,4.3.1,2023-11-27,low
scatterplot3d,CRAN,0.3-44,4.3.1,2023-11-27,low
scda,other,0.1.6,4.3.1,2024-05-31,low
scrypt,CRAN,0.1.6,4.3.1,2024-04-17,medium
scs,CRAN,3.2.4,4.3.1,2023-11-27,low
secretbase,CRAN,1.0.0,4.3.1,2024-08-05,low
see,CRAN,0.8.4,4.3.1,2023-11-27,medium
selectr,CRAN,0.4-2,4.3.1,2023-11-27,low
sendmailR,CRAN,1.4-0,4.3.1,2023-11-27,medium
sensitivity,CRAN,1.30.0,4.3.1,2023-11-27,low
seriation,CRAN,1.5.5,4.3.1,2023-11-27,low
servr,CRAN,0.3,4.3.1,2023-11-27,low
sessioninfo,CRAN,1.2.2,4.3.1,2023-11-27,low
setRNG,CRAN,2024.2-1,4.3.1,2023-11-27,low
sf,CRAN,1.0-16,4.3.1,2023-11-27,low
sfsmisc,CRAN,1.1-18,4.3.1,2023-11-27,low
shape,CRAN,1.4.6.1,4.3.1,2023-11-27,low
shapes,CRAN,1.2.7,4.3.1,2023-11-27,low
shiny,CRAN,1.8.1.1,4.3.1,2023-11-27,low
shinyBS,CRAN,0.61.1,4.3.1,2023-11-27,low
shinyFeedback,CRAN,0.4.0,4.3.1,2023-11-27,low
shinyMatrix,CRAN,0.8.0,4.3.1,2023-11-27,low
shinyWidgets,CRAN,0.8.6,4.3.1,2023-11-27,low
shinyauthr,CRAN,1.0.0,4.3.1,2024-04-17,medium
shinybusy,CRAN,0.3.3,4.3.1,2023-11-27,low
shinycssloaders,CRAN,1.0.0,4.3.1,2023-11-27,low
shinydashboard,CRAN,0.7.2,4.3.1,2023-11-27,low
shinydashboardPlus,CRAN,2.0.4,4.3.1,2023-11-27,low
shinyglide,CRAN,0.1.4,4.3.1,2023-11-27,low
shinyjs,CRAN,2.1.0,4.3.1,2023-11-27,low
shinyloadtest,CRAN,1.1.0,4.3.1,2023-11-27,low
shinymanager,CRAN,1.0.410,4.3.1,2024-04-17,medium
shinymetrics,other,0.0.1.9000,4.3.1,2023-10-12,low
shinystan,CRAN,2.6.0,4.3.1,2023-11-27,low
shinytest,CRAN,1.6.1,4.3.1,2023-11-27,low
shinytest2,CRAN,0.3.2,4.3.1,2023-11-27,medium
shinythemes,CRAN,1.2.0,4.3.1,2023-11-27,low
shinyvalidate,CRAN,0.1.3,4.3.1,2023-11-27,medium
showimage,CRAN,1.0.0,4.3.1,2023-11-27,low
showtext,CRAN,0.9-7,4.3.1,2023-11-27,low
showtextdb,CRAN,3,4.3.1,2023-11-27,low
simex,CRAN,1.8,4.3.1,2023-11-27,low
simsurv,CRAN,1.0.0,4.3.1,2023-11-27,medium
sitmo,CRAN,2.0.2,4.3.1,2023-11-27,low
sjlabelled,CRAN,1.2.0,4.3.1,2024-04-17,low
sjmisc,CRAN,2.8.10,4.3.1,2024-04-17,low
skimr,CRAN,2.1.5,4.3.1,2023-11-27,low
slam,CRAN,0.1-50,4.3.1,2023-11-27,low
slider,CRAN,0.3.1,4.3.1,2023-11-27,low
sloop,CRAN,1.0.1,4.3.1,2023-11-27,low
sn,CRAN,2.1.1,4.3.1,2024-08-05,low
snakecase,CRAN,0.11.1,4.3.1,2023-11-27,low
snow,CRAN,0.4-4,4.3.1,2023-11-27,low
snowfall,CRAN,1.84-6.3,4.3.1,2023-11-27,low
sodium,CRAN,1.3.1,4.3.1,2023-11-27,low
sourcetools,CRAN,0.1.7-1,4.3.1,2023-11-27,low
sp,CRAN,2.1-4,4.3.1,2023-11-27,low
spam,CRAN,2.10-0,4.3.1,2023-11-27,low
spatial,CRAN,7.3-17,4.3.1,2023-11-27,low
spatial,CRAN,7.3-17,4.3.1,2023-11-27,low
spelling,CRAN,2.3.0,4.3.1,2023-11-27,low
splines,CRAN,4.3.1,4.3.1,2023-11-27,low
splines2,CRAN,0.5.2,4.3.1,2023-11-27,low
splus2R,CRAN,1.3-5,4.3.1,2023-11-27,low
ssanv,CRAN,1.1,4.3.1,2023-11-27,low
stabledist,CRAN,0.7-1,4.3.1,2023-11-27,low
stabs,CRAN,0.6-4,4.3.1,2023-11-27,low
statmod,CRAN,1.5.0,4.3.1,2023-11-27,low
stats,other,4.3.1,4.3.1,2023-11-27,low
stats4,other,4.3.1,4.3.1,2023-11-27,low
stdReg,CRAN,3.4.1,4.3.1,2023-11-27,medium
strex,CRAN,2.0.0,4.3.1,2023-11-27,low
stringfish,CRAN,0.16.0,4.3.1,2023-11-27,low
stringi,CRAN,1.8.4,4.3.1,2023-11-27,low
stringr,CRAN,1.5.1,4.3.1,2023-11-27,low
striprtf,CRAN,0.6.0,4.3.1,2023-11-27,low
strucchange,CRAN,1.5-3,4.3.1,2023-11-27,low
styler,CRAN,1.10.3,4.3.1,2023-11-27,low
summarytools,CRAN,1.0.1,4.3.1,2023-11-27,low
survMisc,CRAN,0.5.6,4.3.1,2023-11-27,low
survcomp,CRAN,1.52.0,4.3.1,2023-11-27,low
survey,CRAN,4.4-2,4.3.1,2023-11-27,low
survival,CRAN,3.7-0,4.3.1,2023-11-27,low
survival,CRAN,3.6-4,4.3.1,2023-11-27,low
survivalROC,CRAN,1.0.3.1,4.3.1,2023-11-27,low
survminer,CRAN,0.4.9,4.3.1,2023-11-27,low
svUnit,CRAN,1.0.6,4.3.1,2023-11-27,low
svd,CRAN,0.5.5,4.3.1,2023-11-27,low
svglite,CRAN,2.1.3,4.3.1,2023-11-27,low
swagger,CRAN,5.17.14,4.3.1,2023-11-27,low
swimplot,CRAN,1.2.0,4.3.1,2024-05-31,high
swirl,CRAN,2.4.5,4.3.1,2023-11-27,medium
symengine,CRAN,0.2.6,4.3.1,2023-11-27,low
sys,CRAN,3.4.2,4.3.1,2023-11-27,low
sysfonts,CRAN,0.8.9,4.3.1,2023-11-27,low
systemfonts,CRAN,1.1.0,4.3.1,2023-11-27,low
table1,CRAN,1.4.3,4.3.1,2023-11-27,medium
tableone,CRAN,0.13.2,4.3.1,2023-11-27,low
tables,CRAN,0.9.25,4.3.1,2023-11-27,low
tarchetypes,CRAN,0.9.0,4.3.1,2023-11-27,low
targets,CRAN,1.7.0,4.3.1,2023-11-27,low
tcltk,CRAN,4.3.1,4.3.1,2023-11-27,low
teal,CRAN,0.15.2,4.3.1,2024-05-31,low
teal.code,CRAN,0.5.0,4.3.1,2024-04-17,low
teal.data,CRAN,0.6.0,4.3.1,2024-04-17,low
teal.logger,CRAN,0.2.0,4.3.1,2024-05-31,low
teal.modules.clinical,CRAN,0.9.1,4.3.1,2024-05-31,low
teal.reporter,CRAN,0.3.1,4.3.1,2024-02-13,low
teal.slice,CRAN,0.5.1,4.3.1,2024-05-31,low
teal.transform,CRAN,0.5.0,4.3.1,2024-05-31,low
teal.widgets,CRAN,0.4.2,4.3.1,2024-04-17,low
tensorA,CRAN,0.36.2.1,4.3.1,2023-11-27,low
tern,CRAN,0.9.4,4.3.1,2024-05-29,low
tern.gee,CRAN,0.1.4,4.3.1,2024-05-31,medium
tern.mmrm,CRAN,0.3.1,4.3.1,2024-05-31,medium
tern.rbmi,other,0.1.3,4.3.1,2024-05-31,medium
testthat,CRAN,3.2.1.1,4.3.1,2023-11-27,low
textshaping,CRAN,0.4.0,4.3.1,2023-11-27,low
tfautograph,CRAN,0.3.2,4.3.1,2023-11-27,low
tfrmt,CRAN,0.1.1,4.3.1,2023-11-27,medium
tfruns,CRAN,1.5.3,4.3.1,2023-11-27,low
tgp,CRAN,2.4-22,4.3.1,2023-11-27,low
thematic,CRAN,0.1.5,4.3.1,2023-11-27,low
threejs,CRAN,0.3.3,4.3.1,2023-11-27,low
tibble,CRAN,3.2.1,4.3.1,2023-11-27,low
tictoc,CRAN,1.2.1,4.3.1,2023-11-27,low
tidybayes,CRAN,3.0.6,4.3.1,2023-11-27,low
tidygraph,CRAN,1.3.1,4.3.1,2023-11-27,low
tidylog,CRAN,1.1.0,4.3.1,2023-11-27,medium
tidymodels,CRAN,1.2.0,4.3.1,2023-11-27,low
tidyr,CRAN,1.3.1,4.3.1,2023-11-27,low
tidyselect,CRAN,1.2.1,4.3.1,2023-11-27,low
tidyverse,CRAN,2.0.0,4.3.1,2023-11-27,low
tiff,CRAN,0.1-12,4.3.1,2023-11-27,low
timeDate,CRAN,4032.11,4.3.1,2023-11-27,low
timeSeries,CRAN,4032.11,4.3.1,2023-11-27,low
timechange,CRAN,0.3.0,4.3.1,2023-11-27,low
timereg,CRAN,2.0.5,4.3.1,2023-11-27,low
tinytex,CRAN,0.51,4.3.1,2023-11-27,low
tmvnsim,CRAN,1.0-2,4.3.1,2023-11-27,medium
toastui,CRAN,0.3.3,4.3.1,2023-11-27,medium
tolerance,CRAN,3.0.0,4.3.1,2023-11-27,low
tools,other,4.3.1,4.3.1,2023-11-27,low
tree,CRAN,1.0-43,4.3.1,2023-11-27,low
triebeard,CRAN,0.4.1,4.3.1,2023-11-27,low
truncdist,CRAN,1.0-2,4.3.1,2023-11-27,low
truncnorm,CRAN,1.0-9,4.3.1,2023-11-27,low
tune,CRAN,1.2.1,4.3.1,2023-11-27,low
tweenr,CRAN,2.0.3,4.3.1,2023-11-27,low
tzdb,CRAN,0.4.0,4.3.1,2023-11-27,low
ucminf,CRAN,1.2.1,4.3.1,2023-11-27,low
unigd,CRAN,0.1.2,4.3.1,2024-08-05,medium
units,CRAN,0.8-5,4.3.1,2023-11-27,low
unrtf,CRAN,1.4.5,4.3.1,2024-04-17,low
urlchecker,CRAN,1.0.1,4.3.1,2023-11-27,low
urltools,CRAN,1.7.3,4.3.1,2023-11-27,low
usethis,CRAN,2.2.3,4.3.1,2023-11-27,low
utf8,CRAN,1.2.4,4.3.1,2023-11-27,low
utils,other,4.3.1,4.3.1,2023-11-27,low
uuid,CRAN,1.2-0,4.3.1,2023-11-27,low
uwot,CRAN,0.2.2,4.3.1,2023-11-27,low
vcd,CRAN,1.4-12,4.3.1,2023-11-27,low
vctrs,CRAN,0.6.5,4.3.1,2023-11-27,low
vdiffr,CRAN,1.0.7,4.3.1,2023-11-27,medium
vegan,CRAN,2.6-6.1,4.3.1,2023-11-27,low
vegawidget,CRAN,0.5.0,4.3.1,2023-11-27,low
vip,CRAN,0.4.1,4.3.1,2023-11-27,low
viridis,CRAN,0.6.5,4.3.1,2023-11-27,low
viridisLite,CRAN,0.4.2,4.3.1,2023-11-27,low
visNetwork,CRAN,2.1.2,4.3.1,2023-11-27,low
visdat,CRAN,0.6.0,4.3.1,2023-11-27,low
vistime,CRAN,1.2.4,4.3.1,2024-05-31,medium
vpc,CRAN,1.2.2,4.3.1,2023-11-27,low
vroom,CRAN,1.6.5,4.3.1,2023-11-27,low
vscDebugger,other,0.5.3,4.3.1,2023-11-27,low
waiter,CRAN,0.2.5,4.3.1,2023-11-27,low
waldo,CRAN,0.5.2,4.3.1,2023-11-27,low
warp,CRAN,0.2.1,4.3.1,2023-11-27,low
webdriver,CRAN,1.0.6,4.3.1,2023-11-27,medium
webshot,CRAN,0.5.5,4.3.1,2023-11-27,low
websocket,CRAN,1.4.1,4.3.1,2023-11-27,low
webutils,CRAN,1.2.0,4.3.1,2023-11-27,low
weights,CRAN,1.0.4,4.3.1,2023-11-27,low
wesanderson,CRAN,0.3.7,4.3.1,2023-11-27,low
whisker,CRAN,0.4.1,4.3.1,2023-11-27,low
whoami,CRAN,1.3.0,4.3.1,2024-04-17,low
withr,CRAN,3.0.0,4.3.1,2023-11-27,low
wk,CRAN,0.9.1,4.3.1,2023-11-27,low
workflowr,CRAN,1.7.1,4.3.1,2023-11-27,medium
workflows,CRAN,1.1.4,4.3.1,2023-11-27,low
workflowsets,CRAN,1.1.0,4.3.1,2023-11-27,low
writexl,CRAN,1.5.0,4.3.1,2023-11-27,low
xaringan,CRAN,0.3,4.3.1,2023-11-27,medium
xaringanExtra,CRAN,0.8.0,4.3.1,2023-11-27,low
xaringanthemer,CRAN,0.4.2,4.3.1,2023-11-27,medium
xfun,CRAN,0.45,4.3.1,2023-11-27,low
xgboost,CRAN,1.7.7.1,4.3.1,2023-11-27,low
xgxr,CRAN,1.1.2,4.3.1,2023-11-27,medium
xlsx,CRAN,0.6.5,4.3.1,2023-11-27,low
xlsxjars,CRAN,0.6.1,4.3.1,2023-11-27,low
xml2,CRAN,1.3.6,4.3.1,2023-11-27,low
xmlparsedata,CRAN,1.0.5,4.3.1,2023-11-27,low
xopen,CRAN,1.0.1,4.3.1,2023-11-27,low
xportr,CRAN,0.4.0,4.3.1,2024-05-09,medium
xpose,CRAN,0.4.18,4.3.1,2023-11-27,low
xpose.nlmixr2,CRAN,0.4.0,4.3.1,2023-11-27,low
xpose4,CRAN,4.7.3,4.3.1,2023-11-27,low
xtable,CRAN,1.8-4,4.3.1,2023-11-27,low
xts,CRAN,0.14.0,4.3.1,2023-11-27,low
yaml,CRAN,2.3.8,4.3.1,2023-11-27,low
yardstick,CRAN,1.3.1,4.3.1,2023-11-27,low
yulab.utils,CRAN,0.1.4,4.3.1,2023-11-27,low
zeallot,CRAN,0.1.0,4.3.1,2023-11-27,low
zip,CRAN,2.3.1,4.3.1,2023-11-27,low
zlibbioc,BIOC,1.48.2,4.3.1,2023-11-27,low
zoo,CRAN,1.8-12,4.3.1,2023-11-27,low
