package,source,version,r_version,assessment_date,rating
RPushbullet,CRAN,0.3.4,4.3.1,2023-11-27,medium
RSEIS,CRAN,4.2-0,4.3.1,2023-11-27,medium
RSQLite,CRAN,2.3.7,4.3.1,2023-11-27,low
RSpectra,CRAN,0.16-1,4.3.1,2023-11-27,low
RUnit,CRAN,0.4.33,4.3.1,2023-11-27,low
Rcpp,CRAN,1.0.12,4.3.1,2023-11-27,low
RcppAnnoy,CRAN,0.0.22,4.3.1,2023-11-27,low
RcppArmadillo,CRAN,0.12.8.4.0,4.3.1,2023-11-27,low
RcppDE,CRAN,0.1.7,4.3.1,2023-11-27,low
RcppDist,CRAN,0.1.1,4.3.1,2023-11-27,low
RcppEigen,CRAN,0.3.4.0.0,4.3.1,2023-11-27,low
RcppParallel,CRAN,5.1.7,4.3.1,2023-11-27,low
RcppProgress,CRAN,0.4.2,4.3.1,2023-11-27,low
RcppSimdJson,CRAN,0.1.11,4.3.1,2023-11-27,low
RcppTOML,CRAN,0.2.2,4.3.1,2023-11-27,low
RcppThread,CRAN,2.1.7,4.3.1,2023-11-27,low
Rcsdp,CRAN,0.1.57.5,4.3.1,2023-11-27,low
Rdimtools,CRAN,1.1.2,4.3.1,2023-11-27,low
Rdpack,CRAN,2.6,4.3.1,2023-11-27,low
Rdsdp,CRAN,1.0.5.2.1,4.3.1,2023-11-27,low
Rglpk,CRAN,0.6-5.1,4.3.1,2023-11-27,low
Rgraphviz,CRAN,2.46.0,4.3.1,2023-11-27,low
Rhdf5lib,BIOC,1.24.2,4.3.1,2023-11-27,low
RhpcBLASctl,CRAN,0.23-42,4.3.1,2024-08-05,low
Rmpfr,CRAN,0.9-5,4.3.1,2023-11-27,low
RobinCar,CRAN,0.3.0,4.3.1,2023-11-27,medium
Rsolnp,CRAN,1.16,4.3.1,2023-11-27,low
Rtsne,CRAN,0.17,4.3.1,2023-11-27,low
Rttf2pt1,CRAN,1.3.12,4.3.1,2023-11-27,low
Rwave,CRAN,2.6-5,4.3.1,2023-11-27,low
S4Arrays,BIOC,1.2.1,4.3.1,2023-11-27,low
S4Vectors,BIOC,0.40.2,4.3.1,2023-11-27,low
SHELF,CRAN,1.10.0,4.3.1,2023-11-27,high
SQUAREM,CRAN,2021.1,4.3.1,2023-11-27,low
SmartEDA,CRAN,0.3.10,4.3.1,2024-04-17,medium
SparseArray,BIOC,1.2.4,4.3.1,2024-08-05,low
SparseM,CRAN,1.83,4.3.1,2023-11-27,low
StanHeaders,CRAN,2.32.9,4.3.1,2023-11-27,low
SummarizedExperiment,BIOC,1.32.0,4.3.1,2023-11-27,low
SuperLearner,CRAN,2.0-29,4.3.1,2023-11-27,low
SuppDists,CRAN,1.1-9.7,4.3.1,2023-11-27,low
TH.data,CRAN,1.1-2,4.3.1,2023-11-27,low
TMB,CRAN,1.9.11,4.3.1,2023-11-27,low
TSP,CRAN,1.2-4,4.3.1,2023-11-27,low
TeachingDemos,CRAN,2.13,4.3.1,2023-11-27,low
Tplyr,CRAN,1.2.1,4.3.1,2023-11-27,medium
UpSetR,CRAN,1.4.0,4.3.1,2023-11-27,low
V8,CRAN,4.4.2,4.3.1,2023-11-27,low
WGCNA,CRAN,1.72-5,4.3.1,2023-11-27,low
WeightIt,CRAN,1.1.0,4.3.1,2023-11-27,medium
XML,CRAN,3.99-0.16.1,4.3.1,2023-11-27,low
XVector,BIOC,0.42.0,4.3.1,2023-11-27,low
abind,CRAN,1.4-5,4.3.1,2023-11-27,low
adabag,CRAN,5,4.3.1,2023-11-27,low
admiral,CRAN,1.1.1,4.3.1,2023-11-27,low
admiral.test,CRAN,0.7.0,4.3.1,2023-11-27,low
admiraldev,CRAN,1.1.0,4.3.1,2023-11-27,low
admiralonco,CRAN,1.0.0,4.3.1,2024-05-31,low
admiralophtha,CRAN,1.0.0,4.3.1,2024-05-31,low
admisc,CRAN,0.35,4.3.1,2023-11-27,low
aldvmm,CRAN,0.8.8,4.3.1,2024-04-17,medium
anytime,CRAN,0.3.9,4.3.1,2023-11-27,low
aplot,CRAN,0.2.3,4.3.1,2023-11-27,low
arrayhelpers,CRAN,1.1-0,4.3.1,2023-11-27,low
arrow,CRAN,16.1.0,4.3.1,2023-11-27,low
arsenal,CRAN,3.6.3,4.3.1,2023-11-27,low
ash,CRAN,1.0-15,4.3.1,2023-12-04,low
asht,CRAN,1.0.1,4.3.1,2023-11-27,medium
askpass,CRAN,1.2.0,4.3.1,2023-11-27,low
assertthat,CRAN,0.2.1,4.3.1,2023-11-27,low
attempt,CRAN,0.3.1,4.3.1,2023-11-27,low
babelmixr2,CRAN,0.1.2,4.3.1,2023-11-27,medium
backports,CRAN,1.5.0,4.3.1,2023-11-27,low
baguette,CRAN,1.0.2,4.3.1,2023-11-27,medium
bartMachine,CRAN,1.3.4.1,4.3.1,2024-05-30,low
bartMachineJARs,CRAN,1.2.1,4.3.1,2024-05-30,low
base,other,4.3.1,4.3.1,2023-11-27,low
base64enc,CRAN,0.1-3,4.3.1,2023-11-27,low
base64url,CRAN,1.4,4.3.1,2023-11-27,low
batchtools,CRAN,0.9.17,4.3.1,2023-11-27,low
bayesmeta,CRAN,3.4,4.3.1,2023-11-27,medium
bayesplot,CRAN,1.11.1,4.3.1,2023-11-27,low
bayestestR,CRAN,0.13.2,4.3.1,2023-11-27,low
bbmle,CRAN,1.0.25.1,4.3.1,2023-11-27,low
bdsmatrix,CRAN,1.3-7,4.3.1,2023-11-27,low
bigD,CRAN,0.2.0,4.3.1,2023-11-27,low
billboarder,CRAN,0.4.1,4.3.1,2024-04-17,medium
binom,CRAN,1.1-1.1,4.3.1,2023-11-27,low
bit,CRAN,4.0.5,4.3.1,2023-11-27,low
bit64,CRAN,4.0.5,4.3.1,2023-11-27,low
bitops,CRAN,1.0-7,4.3.1,2023-11-27,low
blavaan,CRAN,0.5-5,4.3.1,2023-11-27,medium
blindrecalc,CRAN,1.0.1,4.3.1,2024-04-18,medium
blob,CRAN,1.2.4,4.3.1,2023-11-27,low
bmp,CRAN,0.3,4.3.1,2023-11-27,low
bnlearn,CRAN,4.9.4,4.3.1,2023-11-27,low
bookdown,CRAN,0.39,4.3.1,2023-11-27,low
boot,CRAN,1.3-30,4.3.1,2023-11-27,low
boot,CRAN,1.3-30,4.3.1,2023-11-27,low
bootstrap,CRAN,2019.6,4.3.1,2023-11-27,low
bpcp,CRAN,1.4.2,4.3.1,2023-11-27,medium
brew,CRAN,1.0-10,4.3.1,2023-11-27,low
bridgesampling,CRAN,1.1-2,4.3.1,2023-11-27,low
brio,CRAN,1.1.5,4.3.1,2023-11-27,low
brms,CRAN,2.21.0,4.3.1,2023-11-27,low
broman,CRAN,0.84,4.3.1,2023-11-27,medium
broom,CRAN,1.0.6,4.3.1,2023-11-27,low
broom.helpers,CRAN,1.15.0,4.3.1,2023-11-27,low
broom.mixed,CRAN,0.2.9.5,4.3.1,2023-11-27,low
